carat,cut,color,clarity,depth,table,x,y,z,price
0.96,Ideal,F,I1,60.7,55.0,6.41,6.37,3.88,2826
0.72,Good,D,VS2,64.0,54.0,5.68,5.7,3.64,2827
0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56,2830
0.76,Very Good,E,SI2,60.8,60.0,5.89,5.98,3.61,2831
0.79,Ideal,G,SI1,61.8,56.0,5.93,5.91,3.66,2831
0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87,2832
0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68,2832
0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2832
0.61,Ideal,F,VVS2,61.7,55.0,5.45,5.48,3.37,2833
0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,2833
0.72,Ideal,E,VS2,62.8,57.0,5.71,5.73,3.59,2835
0.82,Fair,F,SI1,64.9,58.0,5.83,5.79,3.77,2838
0.7,Premium,G,VS1,62.6,55.0,5.73,5.64,3.56,2838
0.7,Ideal,F,VS1,61.6,54.0,5.75,5.72,3.53,2839
0.7,Ideal,F,VS1,62.4,53.0,5.73,5.71,3.57,2839
0.71,Premium,F,VS1,62.7,59.0,5.7,5.62,3.55,2839
0.92,Ideal,D,SI2,61.9,56.0,6.27,6.2,3.86,2840
0.7,Premium,F,VS2,58.7,61.0,5.8,5.72,3.38,2842
0.81,Ideal,F,SI2,62.1,57.0,5.91,5.95,3.68,2843
0.7,Very Good,E,VS1,62.0,59.0,5.65,5.68,3.51,2844
0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,2845
0.8,Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2845
0.72,Very Good,F,VS1,60.2,59.0,5.79,5.84,3.5,2846
0.73,Ideal,E,SI1,59.1,59.0,5.92,5.95,3.51,2846
0.77,Premium,G,VS1,61.4,58.0,5.94,5.89,3.63,2846
0.72,Ideal,E,SI1,60.3,57.0,5.83,5.85,3.52,2847
0.7,Very Good,G,VVS2,62.9,59.0,5.61,5.68,3.55,2848
0.54,Ideal,D,VVS2,61.5,55.0,5.25,5.29,3.24,2848
0.58,Very Good,E,IF,60.6,59.0,5.37,5.43,3.27,2852
0.82,Premium,I,VS1,61.9,58.0,5.99,5.97,3.7,2853
1.12,Premium,H,I1,59.1,61.0,6.78,6.75,4.0,2854
1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2855
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2856
1.0,Fair,I,SI1,67.9,62.0,6.19,6.03,4.15,2856
0.26,Ideal,E,VS1,62.1,56.0,4.09,4.12,2.55,556
0.33,Premium,J,VS1,62.8,58.0,4.41,4.38,2.76,557
0.77,Premium,F,SI1,60.8,59.0,5.92,5.86,3.58,2856
0.77,Premium,F,SI1,61.0,58.0,5.94,5.9,3.61,2856
0.9,Premium,I,VS2,61.9,59.0,6.2,6.14,3.82,2857
0.76,Ideal,E,SI1,62.7,54.0,5.88,5.83,3.67,2858
0.9,Fair,G,SI2,64.5,56.0,6.06,6.0,3.89,2858
0.7,Premium,D,VS2,62.4,56.0,5.72,5.66,3.55,2859
0.71,Ideal,G,VS1,61.5,56.0,5.74,5.78,3.54,2859
0.7,Premium,D,VS2,59.6,61.0,5.8,5.77,3.45,2859
0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
0.82,Premium,E,SI2,61.7,59.0,6.01,5.98,3.7,2861
0.79,Premium,F,SI1,62.3,54.0,5.97,5.91,3.7,2862
0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,2862
0.71,Premium,D,SI1,61.0,61.0,5.82,5.75,3.53,2863
0.71,Ideal,D,SI1,61.7,57.0,5.75,5.7,3.53,2863
0.71,Premium,D,SI1,61.4,58.0,5.79,5.75,3.54,2863
0.71,Ideal,E,VS2,61.0,55.0,5.79,5.75,3.52,2863
0.7,Ideal,D,VS2,62.4,57.0,5.68,5.61,3.52,2867
0.52,Ideal,F,VVS1,61.2,56.0,5.21,5.19,3.18,2867
0.62,Ideal,G,IF,60.5,57.0,5.52,5.56,3.35,2868
0.73,Ideal,G,VVS2,61.3,57.0,5.84,5.81,3.57,2869
0.72,Ideal,H,VVS2,60.9,57.0,5.79,5.77,3.52,2869
0.8,Ideal,G,SI1,62.5,57.0,5.94,5.9,3.7,2870
0.74,Ideal,H,SI1,62.1,56.0,5.77,5.83,3.6,2870
1.04,Premium,I,I1,61.6,61.0,6.47,6.45,3.98,2870
0.75,Ideal,I,SI1,61.8,55.0,5.83,5.85,3.61,2871
0.75,Very Good,D,SI1,60.7,55.0,5.87,5.92,3.58,2872
0.74,Ideal,E,SI1,62.3,58.0,5.74,5.78,3.59,2872
0.76,Ideal,E,SI2,62.8,56.0,5.78,5.82,3.64,2873
0.9,Fair,I,SI1,65.3,61.0,5.98,5.94,3.89,2873
0.7,Premium,F,VS1,59.0,59.0,5.79,5.77,3.41,2874
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,2874
1.0,Fair,H,SI2,67.7,60.0,6.11,5.98,4.09,2875
0.72,Very Good,H,VS1,62.2,54.0,5.74,5.76,3.57,2877
0.79,Ideal,F,SI1,62.8,56.0,5.88,5.9,3.7,2878
0.73,Very Good,F,SI1,61.4,56.0,5.81,5.86,3.58,2879
0.63,Premium,E,IF,60.3,62.0,5.55,5.53,3.34,2879
0.72,Fair,F,VS1,56.9,69.0,5.93,5.77,3.33,2879
0.7,Ideal,H,VVS1,62.0,55.0,5.74,5.71,3.55,2881
1.05,Premium,H,I1,62.0,59.0,6.5,6.47,4.02,2881
0.54,Ideal,F,VVS1,61.8,56.0,5.23,5.26,3.24,2882
0.72,Ideal,D,SI1,61.8,56.0,5.75,5.81,3.57,2883
0.9,Fair,H,SI2,65.0,61.0,6.01,5.96,3.89,2883
0.71,Very Good,D,SI1,62.4,54.0,5.71,5.79,3.59,2887
0.9,Good,H,SI2,63.5,58.0,6.09,6.14,3.88,2889
0.5,Ideal,E,VVS2,62.2,54.0,5.08,5.12,3.17,2889
0.77,Premium,E,SI1,59.8,61.0,5.99,5.95,3.57,2889
0.71,Ideal,E,VS2,62.7,56.0,5.71,5.75,3.59,2891
0.86,Ideal,H,SI2,61.8,55.0,6.12,6.14,3.79,2892
0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63,2893
0.81,Ideal,G,SI2,62.2,57.0,5.96,6.0,3.72,2894
0.76,Ideal,F,SI1,61.4,56.0,5.88,5.92,3.62,2894
0.7,Very Good,F,VS1,61.8,59.0,5.66,5.76,3.53,2895
0.77,Very Good,G,VS2,61.3,60.0,5.81,5.91,3.59,2896
0.75,Ideal,D,SI1,62.3,55.0,5.83,5.8,3.62,2898
0.7,Good,G,VVS1,59.9,61.0,5.75,5.81,3.46,2899
0.72,Premium,D,SI1,61.4,59.0,5.79,5.71,3.53,2903
0.79,Very Good,D,SI2,62.8,57.0,5.85,5.9,3.69,2904
0.71,Very Good,G,VS2,62.1,58.0,5.65,5.71,3.53,2905
0.86,Very Good,I,VS1,61.2,58.0,6.1,6.16,3.75,2905
0.53,Ideal,D,VVS1,62.5,54.0,5.16,5.21,3.24,2905
0.79,Ideal,G,SI1,60.3,60.0,5.98,6.02,3.62,2907
0.72,Ideal,E,SI1,62.6,56.0,5.7,5.73,3.58,2907
0.25,Premium,E,VS1,61.5,60.0,4.04,4.02,2.48,558
0.31,Premium,I,VS2,62.3,57.0,4.35,4.32,2.7,558
0.31,Premium,H,SI1,62.4,57.0,4.35,4.31,2.7,558
0.31,Premium,E,SI2,60.9,60.0,4.38,4.35,2.66,558
0.82,Very Good,H,SI1,63.6,56.0,5.9,5.95,3.77,2908
1.0,Fair,H,SI2,65.2,54.0,6.3,6.22,4.08,2912
0.8,Very Good,F,SI1,63.5,55.0,5.86,5.89,3.73,2914
0.72,Ideal,I,VS2,61.8,55.0,5.75,5.79,3.56,2918
0.73,Ideal,H,VS1,61.9,55.0,5.79,5.76,3.58,2919
0.71,Ideal,F,VS1,62.6,55.0,5.71,5.67,3.56,2920
0.74,Very Good,H,VVS2,60.5,60.0,5.79,5.81,3.51,2921
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2921
0.7,Ideal,I,VS1,61.5,56.0,5.71,5.75,3.52,2924
1.02,Ideal,I,I1,61.7,56.0,6.49,6.44,3.99,2925
0.81,Premium,F,SI1,61.3,60.0,6.0,5.94,3.66,2926
0.7,Very Good,F,VS2,61.3,54.0,5.72,5.76,3.52,2928
0.74,Very Good,E,SI1,61.0,58.0,5.82,5.85,3.56,2929
0.71,Very Good,E,VS2,61.3,60.0,5.74,5.71,3.51,2930
0.7,Premium,E,VS1,60.3,58.0,5.7,5.74,3.45,2930
0.71,Ideal,G,VS1,62.7,57.0,5.69,5.73,3.58,2930
0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
0.7,Very Good,F,VVS2,63.2,58.0,5.66,5.6,3.56,2932
0.73,Premium,F,VS2,59.9,58.0,5.84,5.87,3.51,2933
1.17,Fair,I,I1,65.4,62.0,6.68,6.57,4.33,2935
0.7,Very Good,G,VVS2,61.8,60.0,5.63,5.69,3.5,2936
0.7,Ideal,D,SI2,62.6,54.0,5.69,5.72,3.57,2936
0.76,Premium,E,SI1,58.3,62.0,6.12,5.95,3.52,2937
0.8,Ideal,E,SI2,60.8,56.0,6.02,6.01,3.66,2939
0.7,Good,F,VVS2,63.1,57.0,5.59,5.66,3.55,2940
0.7,Ideal,F,VS1,61.2,54.0,5.92,5.64,3.54,2940
0.7,Ideal,E,VS2,61.5,56.0,5.73,5.68,3.51,2940
0.76,Premium,D,SI1,61.6,59.0,5.84,5.82,3.59,2942
0.73,Ideal,D,SI1,61.4,56.0,5.82,5.78,3.56,2943
0.9,Premium,I,SI2,62.5,58.0,6.15,6.1,3.83,2948
0.9,Fair,I,SI2,66.4,60.0,5.92,5.86,3.91,2948
0.77,Ideal,D,SI1,62.6,57.0,5.81,5.92,3.67,2949
0.71,Premium,D,VS2,62.1,60.0,5.72,5.68,3.54,2950
0.7,Very Good,E,VS2,62.4,58.0,5.66,5.68,3.54,2952
0.7,Very Good,E,VS1,61.3,60.0,5.68,5.7,3.49,2952
0.7,Ideal,E,VS2,61.9,58.0,5.7,5.73,3.54,2952
0.8,Very Good,H,VS2,59.1,59.0,6.02,6.07,3.57,2953
0.72,Ideal,F,VS2,62.6,56.0,5.75,5.72,3.59,2956
0.72,Ideal,H,VVS1,62.0,55.0,5.74,5.77,3.57,2958
0.72,Ideal,G,VS2,61.3,56.0,5.77,5.81,3.55,2960
0.73,Premium,F,VS1,62.7,56.0,5.75,5.73,3.6,2961
0.71,Very Good,D,SI1,59.4,59.0,5.78,5.81,3.44,2964
0.9,Fair,J,VS1,65.4,60.0,6.02,5.93,3.91,2964
0.9,Fair,J,VS1,64.6,58.0,6.12,6.06,3.93,2964
0.7,Ideal,G,SI1,61.7,55.0,5.7,5.73,3.53,2965
0.7,Ideal,I,VVS1,61.8,56.0,5.69,5.73,3.53,2966
0.7,Very Good,E,VS1,61.3,56.0,5.68,5.71,3.49,2967
0.7,Very Good,E,VS1,61.5,56.0,5.69,5.75,3.52,2967
0.24,Ideal,G,VVS1,62.1,56.0,3.97,4.0,2.47,559
0.24,Ideal,G,IF,61.7,56.0,3.99,4.01,2.47,559
0.24,Ideal,G,IF,60.8,58.0,4.01,4.05,2.44,559
0.24,Ideal,G,IF,61.6,57.0,3.99,4.02,2.46,559
0.24,Ideal,G,IF,61.3,57.0,4.0,4.03,2.46,559
0.32,Ideal,G,VS1,61.8,55.0,4.42,4.45,2.74,559
0.25,Very Good,E,VVS2,62.0,56.0,4.05,4.08,2.52,560
0.25,Very Good,F,IF,61.5,56.0,4.04,4.06,2.48,560
0.72,Very Good,G,VS1,60.6,56.0,5.84,5.87,3.55,2970
0.9,Very Good,H,SI2,63.1,60.0,6.14,6.09,3.86,2972
0.9,Very Good,J,SI2,63.3,59.0,6.08,6.12,3.86,2973
0.82,Ideal,F,SI1,62.6,57.0,5.96,6.02,3.75,2974
0.7,Very Good,F,VS1,62.1,57.0,5.69,5.72,3.54,2975
0.77,Premium,E,SI1,60.4,58.0,6.0,5.88,3.59,2975
0.91,Ideal,I,SI2,63.0,54.0,6.17,6.12,3.86,2976
0.71,Very Good,G,VVS2,60.8,58.0,5.75,5.77,3.5,2977
0.81,Ideal,F,SI1,61.9,57.0,5.98,6.01,3.71,2977
0.7,Ideal,E,VS1,61.3,54.0,5.77,5.83,3.54,2978
0.76,Ideal,E,SI2,62.1,56.0,5.85,5.88,3.64,2978
0.72,Ideal,H,VVS1,59.9,59.0,5.76,5.82,3.47,2979
0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981
0.76,Ideal,I,IF,61.6,55.0,5.92,5.89,3.64,2988
0.57,Good,E,VVS1,59.1,65.0,5.34,5.43,3.18,2990
0.75,Very Good,E,SI1,63.6,56.0,5.73,5.75,3.65,2993
0.72,Ideal,D,SI1,61.1,59.0,5.76,5.8,3.53,2993
1.01,Fair,G,SI1,65.1,57.0,6.27,6.22,4.07,2993
0.91,Fair,F,SI2,65.3,51.0,6.05,5.98,3.93,2996
0.74,Ideal,I,VS2,61.9,55.0,5.8,5.83,3.6,2997
0.72,Ideal,H,SI1,61.1,56.0,5.78,5.8,3.54,2997
0.7,Ideal,D,VS2,62.8,57.0,5.69,5.75,3.59,2998
0.7,Very Good,D,VS2,59.7,59.0,5.82,5.78,3.46,2999
0.7,Premium,G,VVS2,60.2,61.0,5.74,5.66,3.43,2999
0.77,Ideal,E,SI1,62.5,56.0,5.87,5.91,3.68,3000
0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,3000
0.72,Very Good,D,SI1,61.5,58.0,5.74,5.78,3.54,3001
0.7,Very Good,D,VS1,63.4,59.0,5.58,5.55,3.53,3001
0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74,3002
0.8,Premium,G,VS2,60.6,59.0,6.02,5.97,3.63,3002
0.81,Ideal,F,SI1,61.8,55.0,6.04,6.0,3.72,3004
0.72,Ideal,F,SI1,62.3,56.0,5.77,5.79,3.6,3004
0.91,Very Good,I,SI2,63.4,58.0,6.08,6.12,3.87,3006
0.71,Ideal,I,VVS2,60.4,57.0,5.78,5.81,3.5,3007
0.71,Ideal,G,SI1,61.4,56.0,5.72,5.77,3.53,3007
0.7,Very Good,D,VS1,60.4,58.0,5.71,5.78,3.47,3008
0.71,Very Good,E,VS1,63.7,58.0,5.63,5.68,3.6,3009
0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,3009
0.8,Ideal,I,VS1,60.7,59.0,5.98,6.02,3.64,3010
0.8,Ideal,D,SI1,62.2,57.0,5.89,5.85,3.65,3011
1.0,Very Good,G,I1,62.5,62.0,6.42,6.35,3.99,3011
1.2,Fair,I,I1,66.2,55.0,6.61,6.51,4.34,3011
0.75,Ideal,H,SI1,61.9,56.0,5.81,5.85,3.61,3011
0.78,Very Good,G,VS2,61.3,60.0,5.89,5.96,3.63,3012
0.9,Premium,D,SI1,62.2,60.0,6.08,6.05,3.77,3013
1.01,Premium,G,I1,61.1,61.0,6.49,6.35,3.92,3014
0.9,Good,G,SI2,63.7,62.0,6.07,6.01,3.85,3014
0.9,Good,F,SI2,64.2,62.0,6.0,6.08,3.88,3016
1.02,Very Good,F,SI2,63.3,56.0,6.38,6.31,4.02,3018
0.7,Premium,F,VVS2,62.2,56.0,5.72,5.63,3.53,3018
0.75,Premium,E,SI1,61.7,60.0,5.84,5.8,3.59,3024
0.74,Ideal,H,VS1,61.6,55.0,5.79,5.83,3.58,3030
1.01,Very Good,H,SI2,63.5,55.0,6.32,6.27,4.0,3032
0.55,Ideal,F,VVS1,61.2,54.0,5.35,5.3,3.26,3032
0.7,Good,D,VS2,63.9,58.0,5.62,5.58,3.58,3033
0.91,Premium,H,SI1,63.0,57.0,6.19,6.1,3.87,3033
0.71,Ideal,D,SI1,60.6,57.0,5.82,5.72,3.5,3035
0.7,Very Good,G,VVS1,63.3,57.0,5.59,5.63,3.55,3037
0.32,Premium,G,VS2,59.8,59.0,4.48,4.52,2.69,561
0.32,Very Good,H,VS1,63.0,57.0,4.32,4.35,2.73,561
0.32,Very Good,H,VS1,63.0,57.0,4.37,4.39,2.76,561
0.32,Very Good,H,VS1,61.7,58.0,4.37,4.41,2.71,561
0.32,Premium,H,VS1,61.7,58.0,4.38,4.44,2.72,561
0.32,Ideal,H,VS1,61.9,55.0,4.4,4.42,2.73,561
0.72,Ideal,E,SI1,62.2,58.0,5.72,5.75,3.57,3037
0.7,Very Good,G,VVS2,61.0,59.0,5.67,5.7,3.47,3039
0.92,Premium,I,SI2,61.5,59.0,6.27,6.21,3.84,3040
0.81,Good,I,VS1,59.4,56.0,5.97,6.11,3.59,3042
0.81,Ideal,I,SI1,61.3,56.0,6.27,6.23,3.83,3043
0.83,Ideal,G,SI1,62.1,57.0,6.03,5.95,3.72,3044
0.71,Very Good,F,VS1,61.2,57.0,5.73,5.77,3.52,3045
0.75,Ideal,E,SI1,60.8,56.0,5.91,5.89,3.59,3045
0.7,Good,G,VVS2,61.1,61.0,5.67,5.69,3.47,3046
0.93,Ideal,I,SI2,62.3,57.0,6.22,6.2,3.87,3047
0.75,Very Good,D,SI1,61.8,57.0,5.78,5.81,3.58,3048
0.66,Ideal,D,VVS2,61.6,57.0,5.64,5.57,3.45,3049
0.7,Very Good,D,VS2,62.6,58.0,5.67,5.7,3.56,3053
0.71,Very Good,E,VS2,59.9,59.0,5.79,5.83,3.48,3053
0.75,Ideal,E,SI1,61.3,57.0,5.84,5.91,3.6,3053
0.79,Very Good,E,SI1,63.2,56.0,5.91,5.83,3.71,3053
1.01,Fair,I,SI2,68.1,59.0,6.14,6.11,4.17,3054
0.65,Very Good,D,VVS2,59.9,58.0,5.63,5.69,3.39,3056
0.76,Ideal,E,SI1,62.4,54.0,5.84,5.86,3.65,3056
0.57,Ideal,F,VVS1,61.1,55.0,5.36,5.44,3.3,3057
0.82,Fair,H,SI1,64.9,58.0,5.82,5.77,3.76,3057
0.71,Very Good,E,VS1,61.8,56.0,5.74,5.78,3.56,3059
0.74,Very Good,H,VVS1,62.4,57.0,5.76,5.81,3.61,3061
0.9,Very Good,J,SI1,63.8,56.0,6.11,6.14,3.91,3061
0.71,Ideal,G,SI1,61.5,55.0,5.75,5.79,3.55,3061
0.71,Fair,G,VVS1,62.8,57.0,5.67,5.57,3.53,3062
0.71,Very Good,E,VS1,63.3,59.0,5.64,5.68,3.58,3064
0.7,Ideal,F,VS2,61.4,56.0,5.72,5.75,3.52,3064
0.85,Very Good,D,SI2,61.4,60.0,6.05,6.13,3.74,3066
0.7,Very Good,E,VS1,63.4,60.0,5.63,5.66,3.58,3068
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,3070
